reporting_cutoff,observation_start,county_slug,county_name,primary_opportunity,recruitment_level,recruitment_signal_count,engagement_level,engagement_signal_count,limited_data,children_currently_in_care,current_kin_placements,current_foster_placements,current_nonfamily_placements,current_foster_homes,children_per_current_home,local_foster_placements,out_of_county_foster_placements,local_placement_rate,homes_with_current_placement,homes_with_recent_activity,homes_without_recent_activity,median_observed_active_day_rate,renewals_within_90_days
2026-07-01,2022-01-01,hamilton,Hamilton,engagement,limited,0,possible,1,1,4,3,1,0,13,0.30769230769230771,0,1,0,13,13,0,0.46894031668696712,2
2026-07-01,2022-01-01,hancock,Hancock,engagement,limited,0,possible,1,1,9,5,4,0,16,0.5625,2,2,0.5,14,15,1,0.88438606681375465,12
2026-07-01,2022-01-01,hardin,Hardin,review,limited,0,review,0,1,3,2,1,0,13,0.23076923076923078,0,1,0,11,12,1,0.6479902557856273,4
2026-07-01,2022-01-01,henderson,Henderson,review,limited,0,review,0,1,3,0,3,0,19,0.15789473684210525,1,2,0.33333333333333331,17,18,1,0.71498172959805117,9
2026-07-01,2022-01-01,henry,Henry,engagement,review,0,possible,1,0,45,19,26,0,28,1.6071428571428572,13,13,0.5,20,26,2,0.71467722289890379,18
2026-07-01,2022-01-01,iroquois,Iroquois,engagement,limited,0,higher,2,1,19,8,11,0,16,1.1875,8,3,0.72727272727272729,13,14,2,0.72795477329885139,9
2026-07-01,2022-01-01,jackson,Jackson,engagement,possible,1,higher,2,0,30,9,21,0,20,1.5,3,18,0.14285714285714285,16,17,3,0.83171941537335747,11
2026-07-01,2022-01-01,jasper,Jasper,engagement,limited,0,possible,1,1,12,4,8,0,15,0.80000000000000004,2,6,0.25,11,14,1,0.63946406820950064,8
2026-07-01,2022-01-01,jefferson,Jefferson,engagement,limited,0,possible,1,1,29,12,17,0,22,1.3181818181818181,10,7,0.58823529411764708,18,19,3,0.71342567992871686,9
2026-07-01,2022-01-01,jersey,Jersey,engagement,limited,0,possible,1,1,24,11,13,0,19,1.263157894736842,7,6,0.53846153846153844,14,18,1,0.46772228989037756,9
2026-07-01,2022-01-01,jo-daviess,Jo Daviess,engagement,limited,0,possible,1,1,15,4,10,1,17,0.88235294117647056,5,5,0.5,13,17,0,0.58952496954933009,8
2026-07-01,2022-01-01,johnson,Johnson,review,limited,0,review,0,1,6,3,3,0,17,0.35294117647058826,1,2,0.33333333333333331,11,16,1,0.69610231425091351,5
2026-07-01,2022-01-01,kane,Kane,recruitment,possible,1,review,0,0,548,248,297,3,261,2.0996168582375478,164,133,0.55218855218855223,207,241,20,0.70645554202192451,108
2026-07-01,2022-01-01,kankakee,Kankakee,recruitment,possible,1,review,0,0,93,44,49,0,44,2.1136363636363638,23,26,0.46938775510204084,36,42,2,0.66571825517661387,12
2026-07-01,2022-01-01,kendall,Kendall,recruitment,possible,1,review,0,0,97,44,53,0,31,3.129032258064516,15,38,0.28301886792452829,27,30,1,0.69610231425091351,6
2026-07-01,2022-01-01,knox,Knox,engagement,review,0,possible,1,0,42,19,23,0,26,1.6153846153846154,13,10,0.56521739130434778,24,26,0,0.75852618757612666,13
2026-07-01,2022-01-01,lake,Lake,recruitment,possible,1,review,0,0,818,380,436,2,342,2.3918128654970761,245,191,0.56192660550458717,276,316,26,0.66848527785545686,144
2026-07-01,2022-01-01,lasalle,LaSalle,both,higher,2,higher,2,0,80,37,43,0,20,4,4,39,0.093023255813953487,13,17,3,0.66352009744214369,12
2026-07-01,2022-01-01,lawrence,Lawrence,engagement,limited,0,higher,2,1,8,4,4,0,19,0.42105263157894735,2,2,0.5,15,17,2,0.64677222898903775,10
2026-07-01,2022-01-01,lee,Lee,review,limited,0,review,0,1,9,6,3,0,13,0.69230769230769229,2,1,0.66666666666666663,11,13,0,0.88063063063063063,5
2026-07-01,2022-01-01,livingston,Livingston,engagement,limited,0,possible,1,1,18,10,8,0,17,1.0588235294117647,4,4,0.5,14,15,2,0.65956151035322774,7
2026-07-01,2022-01-01,logan,Logan,engagement,limited,0,higher,2,1,21,7,14,0,22,0.95454545454545459,7,7,0.5,14,17,5,0.64026339829476253,12
2026-07-01,2022-01-01,macon,Macon,recruitment,possible,1,review,0,0,74,31,42,1,30,2.4666666666666668,25,17,0.59523809523809523,28,30,0,0.76644336175395855,9
2026-07-01,2022-01-01,macoupin,Macoupin,engagement,limited,0,higher,2,1,30,13,17,0,25,1.2,8,9,0.47058823529411764,18,21,4,0.58343483556638243,9
2026-07-01,2022-01-01,madison,Madison,recruitment,higher,2,review,0,0,144,70,74,0,30,4.7999999999999998,15,59,0.20270270270270271,27,28,2,0.75121802679658956,10
2026-07-01,2022-01-01,marion,Marion,review,limited,0,review,0,1,23,14,9,0,18,1.2777777777777777,5,4,0.55555555555555558,15,18,0,0.77769707705934454,5
2026-07-01,2022-01-01,marshall,Marshall,review,limited,0,review,0,1,10,5,5,0,14,0.7142857142857143,0,5,0,8,13,1,0.64190012180267964,6
2026-07-01,2022-01-01,mason,Mason,review,limited,0,review,0,1,7,4,3,0,17,0.41176470588235292,3,0,1,17,17,0,0.69347826086956521,8
2026-07-01,2022-01-01,massac,Massac,engagement,limited,0,possible,1,1,7,5,2,0,20,0.34999999999999998,1,1,0.5,16,19,1,0.56090133982947621,9
2026-07-01,2022-01-01,mcdonough,McDonough,engagement,limited,0,higher,2,1,16,5,11,0,14,1.1428571428571428,0,11,0,11,11,3,0.73283850518632609,7
2026-07-01,2022-01-01,mchenry,McHenry,recruitment,possible,1,review,0,0,228,106,120,2,62,3.6774193548387095,71,49,0.59166666666666667,52,60,2,0.66054150280703272,21
2026-07-01,2022-01-01,mclean,McLean,both,possible,1,possible,1,0,153,66,85,2,67,2.283582089552239,49,36,0.57647058823529407,52,60,7,0.72898903775883073,29
2026-07-01,2022-01-01,menard,Menard,engagement,limited,0,possible,1,1,10,6,4,0,14,0.7142857142857143,0,4,0,11,12,2,0.82309111285779291,5
2026-07-01,2022-01-01,mercer,Mercer,engagement,limited,0,possible,1,1,16,9,7,0,15,1.0666666666666667,2,5,0.2857142857142857,14,15,0,0.62570281124497995,5
2026-07-01,2022-01-01,monroe,Monroe,review,review,0,review,0,0,36,14,22,0,30,1.2,9,13,0.40909090909090912,25,29,1,0.78654080389768577,14
2026-07-01,2022-01-01,montgomery,Montgomery,engagement,limited,0,possible,1,1,24,11,13,0,21,1.1428571428571428,4,9,0.30769230769230771,18,20,1,0.55045871559633031,8
2026-07-01,2022-01-01,morgan,Morgan,engagement,limited,0,higher,2,1,23,11,12,0,23,1,6,6,0.5,19,21,2,0.58952496954933009,14
2026-07-01,2022-01-01,moultrie,Moultrie,engagement,limited,0,possible,1,1,9,6,3,0,23,0.39130434782608697,2,1,0.66666666666666663,18,21,2,0.52132049518569468,8
2026-07-01,2022-01-01,ogle,Ogle,review,limited,0,review,0,1,38,20,18,0,25,1.52,8,10,0.44444444444444442,21,24,1,0.73020706455542017,11
2026-07-01,2022-01-01,peoria,Peoria,both,possible,1,possible,1,0,88,44,44,0,28,3.1428571428571428,19,25,0.43181818181818182,24,27,1,0.7380261388096907,14
2026-07-01,2022-01-01,perry,Perry,engagement,limited,0,possible,1,1,13,5,8,0,15,0.8666666666666667,3,5,0.375,12,14,1,0.7984165651644336,11
2026-07-01,2022-01-01,piatt,Piatt,engagement,limited,0,higher,2,1,19,5,14,0,22,0.86363636363636365,7,7,0.5,14,20,2,0.60995161674333731,7
2026-07-01,2022-01-01,pike,Pike,review,limited,0,review,0,1,17,8,9,0,21,0.80952380952380953,3,6,0.33333333333333331,18,21,0,0.7717277486910995,9
2026-07-01,2022-01-01,pope,Pope,review,limited,0,review,0,1,5,1,4,0,13,0.38461538461538464,2,2,0.5,12,12,1,0.73873325213154695,5
2026-07-01,2022-01-01,pulaski,Pulaski,engagement,limited,0,possible,1,1,3,1,2,0,19,0.15789473684210525,0,2,0,16,18,1,0.67028985507246375,10
2026-07-01,2022-01-01,putnam,Putnam,review,limited,0,review,0,1,4,3,1,0,17,0.23529411764705882,1,0,1,15,16,1,0.67756315007429424,8
2026-07-01,2022-01-01,randolph,Randolph,engagement,limited,0,higher,2,1,18,5,13,0,25,0.71999999999999997,2,11,0.15384615384615385,18,22,3,0.64555420219244819,14
2026-07-01,2022-01-01,richland,Richland,review,limited,0,review,0,1,16,5,11,0,19,0.84210526315789469,5,6,0.45454545454545453,19,19,0,0.76370280146163216,9
2026-07-01,2022-01-01,rock-island,Rock Island,both,possible,1,possible,1,0,118,44,73,1,50,2.3599999999999999,38,35,0.52054794520547942,37,48,2,0.6352009744214373,22
2026-07-01,2022-01-01,saline,Saline,review,limited,0,review,0,1,14,10,4,0,13,1.0769230769230769,2,2,0.5,13,13,0,0.78684531059683316,3
2026-07-01,2022-01-01,sangamon,Sangamon,recruitment,possible,1,review,0,0,92,42,50,0,25,3.6800000000000002,17,33,0.34000000000000002,24,25,0,0.73081607795371495,10
2026-07-01,2022-01-01,schuyler,Schuyler,review,limited,0,review,0,1,2,2,0,0,12,0.16666666666666666,0,0,,8,12,0,0.81181485992691838,5
2026-07-01,2022-01-01,scott,Scott,engagement,limited,0,higher,2,1,3,2,1,0,20,0.14999999999999999,0,1,0,14,18,2,0.6175395858708892,9
2026-07-01,2022-01-01,shelby,Shelby,review,limited,0,review,0,1,15,11,4,0,18,0.83333333333333337,2,2,0.5,17,18,0,0.72898903775883062,4
2026-07-01,2022-01-01,st-clair,St. Clair,both,possible,1,possible,1,0,113,49,64,0,26,4.3461538461538458,22,42,0.34375,22,24,2,0.84577213613497704,14
2026-07-01,2022-01-01,stark,Stark,engagement,limited,0,possible,1,1,3,0,3,0,18,0.16666666666666666,2,1,0.66666666666666663,15,17,1,0.66694993104260925,10
2026-07-01,2022-01-01,stephenson,Stephenson,engagement,review,0,possible,1,0,37,15,20,2,51,0.72549019607843135,14,6,0.69999999999999996,33,42,9,0.68676470588235294,23
2026-07-01,2022-01-01,tazewell,Tazewell,both,higher,2,higher,2,0,60,27,33,0,22,2.7272727272727271,5,28,0.15151515151515152,18,21,1,0.60841436563552453,11
2026-07-01,2022-01-01,union,Union,engagement,limited,0,possible,1,1,9,6,3,0,14,0.6428571428571429,2,1,0.66666666666666663,11,12,2,0.64829476248477458,5
2026-07-01,2022-01-01,vermilion,Vermilion,recruitment,higher,2,possible,1,0,51,23,28,0,18,2.8333333333333335,6,22,0.21428571428571427,16,16,2,0.64920828258221674,7
2026-07-01,2022-01-01,vermillion,Vermillion,engagement,limited,0,higher,2,1,0,0,0,0,13,0,0,0,,8,12,1,0.50864197530864197,7
2026-07-01,2022-01-01,wabash,Wabash,review,limited,0,review,0,1,4,1,3,0,14,0.2857142857142857,1,2,0.33333333333333331,13,13,1,0.79446594692648653,5
2026-07-01,2022-01-01,warren,Warren,engagement,limited,0,higher,2,1,7,4,3,0,11,0.63636363636363635,0,3,0,8,10,1,0.93970767356881857,6
2026-07-01,2022-01-01,washington,Washington,review,limited,0,review,0,1,8,2,6,0,29,0.27586206896551724,3,3,0.5,23,27,2,0.69001218026796585,14
2026-07-01,2022-01-01,wayne,Wayne,engagement,limited,0,possible,1,1,8,2,6,0,14,0.5714285714285714,2,4,0.33333333333333331,13,13,1,0.77691068983564771,7
2026-07-01,2022-01-01,white,White,engagement,limited,0,possible,1,1,9,2,7,0,17,0.52941176470588236,2,5,0.2857142857142857,15,17,0,0.79071969696969702,9
2026-07-01,2022-01-01,whiteside,Whiteside,both,possible,1,possible,1,0,49,17,31,1,24,2.0416666666666665,13,18,0.41935483870967744,21,22,2,0.80508061222257066,14
2026-07-01,2022-01-01,will,Will,recruitment,possible,1,review,0,0,757,349,404,4,254,2.9803149606299213,136,268,0.33663366336633666,196,239,15,0.69153471376370279,125
2026-07-01,2022-01-01,williamson,Williamson,recruitment,possible,1,review,0,0,52,25,25,2,20,2.6000000000000001,8,17,0.32000000000000001,17,20,0,0.78136419001218027,9
2026-07-01,2022-01-01,winnebago,Winnebago,engagement,possible,1,higher,2,0,127,69,57,1,37,3.4324324324324325,13,44,0.22807017543859648,25,33,4,0.67661388550548107,20
2026-07-01,2022-01-01,woodford,Woodford,engagement,limited,0,higher,2,1,17,8,9,0,22,0.77272727272727271,4,5,0.44444444444444442,17,20,2,0.37785404355818908,8
